omega_b,omega_cdm,sigma8,N_ur,n_s,w0_fld,wa_fld,h
0.023842714524983964,0.12849658604986172,0.8723437279859161,1.324024752510325,0.9841081486320555,-1.0444313738149993,0.4374850679530268,0.5633701324462891
0.020893964992164515,0.10878338303128925,0.8164911742859402,2.875516525575388,1.0008792049632644,-0.7899567767109188,-0.26799951377597137,0.7473682403564452
0.021436007439394705,0.1389242332758113,0.8014513848717096,1.481559685479294,0.9970377887045379,-1.125363255404314,-0.33690575318032323,0.5727336883544921
0.021815489444990344,0.13262780877157265,0.751743260193894,2.872388162823752,0.9844382905335161,-1.2160084909603912,-0.5534460133061739,0.8429859161376952
0.02264829102561431,0.10847889965518381,0.7498092585910864,2.08850068124478,0.9903182122221061,-1.1333965499097087,0.5470717704262508,0.7141620635986328
0.024284037812008115,0.13481787019595606,0.906893002025688,2.6046094713603996,1.0094546661607628,-0.9852740937818496,0.2710944057128334,0.6791316986083984
0.022738213580762872,0.13261481483297838,0.8068040898385904,2.332645405568475,0.9388330200950871,-0.961925348346987,-0.17540982031595026,0.6717525482177733
0.021581877384617625,0.12277176773549259,0.9287600290248338,1.2482258079336315,0.9242502333076416,-0.995063828863332,-0.2160839261056413,0.575313186645508
0.022000034840965643,0.13107244851704097,0.8147969856682853,1.5266304488890428,1.0115264557611652,-0.8709728789848443,0.10432631942253612,0.5496852874755861
0.02427345178079119,0.10528534449877396,0.6942550409720961,1.4828349518261206,0.9420849617421259,-0.8586631462242624,0.41915468763978636,0.5888652801513672
0.023171219703852983,0.1122291435923191,0.9275936622137233,1.2690007513376396,0.9732235767560277,-1.1183862988096258,-0.012475810874078341,0.6455684661865235
0.022009495752221442,0.11109970686500041,0.6865485361029862,1.9033083827520607,0.929408308633898,-0.9234517471751824,-0.10659059634264545,0.6720386505126953
0.023924093126380972,0.1164493864886993,0.8915900168608117,2.6950425143394474,0.9765133432911594,-1.1055607561457486,-0.1356325254098814,0.8424091339111328
0.023836758650359426,0.12463731463240657,0.8394879384735816,1.206295426093243,1.0139104317545937,-1.0872152768238512,0.32070833637877394,0.5750888824462891
0.021655390455672666,0.11917630429846518,0.911655080327199,2.054577478895127,1.0211611365071405,-1.068860533018616,0.11209186628059109,0.6845767974853515
0.02315263097983293,0.12867421789223027,0.9019333258924591,1.3498276632690105,0.9990965147458906,-0.8755413503986413,-0.6203101241954265,0.577828598022461
0.023043136411558664,0.13158445623900436,0.8444359306766196,1.4001745405431716,0.9193162478205508,-0.8988513541998997,-0.36678928497244156,0.5682956695556641
0.022008379545851428,0.13771747439614665,0.7918135499276302,2.2483218056319396,0.9741589366597018,-0.9875963623914458,-0.2629202916669617,0.6502582550048829
0.022146315921574997,0.11909994688124727,0.8498249824418573,1.4751443577169678,0.9943499613435766,-0.9968148955900583,-0.6258243431061713,0.6423389434814453
0.024063430613676676,0.1257612819215947,0.8321308223063185,1.7089014038925932,0.9409875914526954,-0.7599247264725135,-0.2622868580461923,0.5925159454345702
0.02105375303073674,0.11450200439892143,0.8268989879960209,1.271086537981799,0.9745463377905149,-1.1320169651657224,-0.5745173495176212,0.6496105194091797
0.022214823046008657,0.11656989876391796,0.7276671674357025,2.053736742253411,0.9818339857785531,-0.8873509370121263,-0.5544099287472815,0.6971446990966798
0.02203412980288649,0.13640867964017267,0.788887074147251,2.803335191547837,1.0126849968474554,-1.211367017703162,-0.023679564543525822,0.7724971771240234
0.023173455212542163,0.11443100376129832,0.7096378149969463,2.4736330627683882,0.9143851706883915,-1.1404414215725514,0.36354016147650625,0.7689197540283202
0.02325115026660827,0.11591467182095057,0.7266471644720172,2.8824923221244685,0.9219738106180239,-0.9292504765703384,0.05531466408311525,0.7605289459228515
0.022532995919324193,0.1139628640588037,0.696235874994426,2.5010193830451044,0.9795953212458273,-0.7570265762580763,-0.6208192735809835,0.7267848968505859
0.02415779364028467,0.1269052862801855,0.8212780711264641,2.129740202362476,0.9424438532308501,-1.021471781044191,0.33768897578970614,0.6558155059814453
0.021213478815355766,0.11087354844783207,0.9351846517781475,1.9083738006486515,0.9974097492406935,-1.1844447560503422,-0.33600210865736635,0.7717052459716797
0.020726367712567268,0.11020189254679946,0.7881857873235314,2.204810722894017,0.9561744847414664,-0.7397304957240789,0.4283761610498328,0.5725254058837892
0.0217470096884329,0.10659451572917679,0.8029756820440891,1.5676849378598265,0.9204943606930744,-0.7748944227917058,0.2876206846180952,0.5667324066162108
0.023428407731872162,0.12562448918945063,0.9031456945263304,2.6257932639852095,0.9637826309263497,-1.104526685135686,0.07158668875372598,0.7638500213623045
0.02172683271246138,0.10984314952532714,0.8088215886014684,2.7305317739994446,0.9204830440528478,-1.0687482739669592,-0.5656288086070896,0.8946239471435545
0.023971379114410944,0.1258351208666984,0.6855293973902894,1.2185522083249396,1.0040160975963026,-0.9313483432231471,0.4231255804583304,0.5396282196044921
0.023331671901694207,0.1303297827707485,0.8617683962028064,1.6686092756778113,0.9394079400557314,-0.7597965032614693,-0.3032405860171035,0.5747180938720704
0.02114189795071943,0.12095585673233877,0.7254638157877359,1.5770687399685173,0.93696477260438,-1.1630104197033324,0.5945840675830228,0.6065074920654298
0.023617290538144934,0.10472455130417763,0.7746789030849316,2.735977969901654,0.9700177440149801,-0.7813293523106084,0.11041169603301892,0.707609176635742
0.0241147114224652,0.1267418228908299,0.7392414444384151,2.213467459099407,0.9114412588627161,-0.785932805356468,0.5636481399700531,0.5669429779052734
